,ano,puntaje,indicador
0,2016,77.2339293072891,ÍNDICE DE ESTABILIDAD POLÍTICA Y AUSENCIA DE VIOLENCIA / TERRORISMO
1,2016,56.5032717346419,ÍNDICE DE EFECTIVIDAD DEL GOBIERNO
2,2016,87.3131283668569,VIOLACIONES A LA LIBERTAD DE PRENSA
3,2016,48.2635522502874,CAPACIDAD DE IMPLEMENTACIÓN DE POLÍTICAS Y REGULACIONES
4,2016,77.836812092094,ÍNDICE DE PRIMACÍA DE LA LEY
5,2016,0.0,PROPORCIÓN DE OCUPADOS CON SEGURIDAD SOCIAL
6,2016,77.31,ÍNDICE DE APERTURA DE NEGOCIO
7,2016,61.77,ÍNDICE DE PAGOS DE IMPUESTOS POR AÑO
8,2016,57.72,ÍNDICE DE REGISTRO DE PROPIEDADES
9,2016,77.449342139784,TASA DE COBERTURA NETA EN EDUCACIÓN SECUNDARIA
10,2016,72.6353747631506,TASA DE COBERTURA NETA EN EDUCACIÓN MEDIA
11,2016,40.897126357671,ESPERANZA DE VIDA ESCOLAR
12,2016,46.4751432097689,"EVALUACIÓN DEL DESEMPEÑO ESCOLAR EN LECTURA, MATEMÁTICAS Y CIENCIA  EN LAS PRUEBAS SABER 11"
13,2016,19.6095708906114,TASA DE COBERTURA EN EDUCACIÓN SUPERIOR
14,2016,37.6591040455791,ÍNDICE DE PARTICIPACIÓN DE GRADUADOS EN CIENCIAS E INGENIERÍAS  STEM
15,2016,8.52513577393695,MOVILIDAD INTERNACIONAL (ÍNDICE)
16,2016,24.5219275327775,NÚMERO DE INVESTIGADORES POR MILLÓN DE HABITANTES
17,2016,30.1687025531768,GASTO BRUTO EN INVESTIGACIÓN Y DESARROLLO (I+D) COMO PORCENTAJE DEL PIB
18,2016,12.7125484316672,DESEMPEÑO DE LOS ESTUDIANTES DE EDUCACION TERCIARIA EN LAS PRUEBAS DE ESTADO SABER 
19,2016,8.81077735753187,INTENSIDAD DEL GASTO EMPRESARIAL EN I+D (PORCENTAJE)
20,2016,45.8888188202501,ACCESO A LAS TIC
21,2016,28.6214452030852,USO DE LAS TIC
22,2016,21.0365853658537,SERVICIOS DIGITALES DE CONFIANZA Y SEGURIDAD 
23,2016,15.4674796747967,GOBIERNO DIGITAL
24,2016,34.2765899719097,ÍNDICE DE GENERACIÓN Y COSTO DE LA ENERGÍA
25,2016,40.8734687008229,DESEMPEÑO LOGÍSTICO
26,2016,4.07024051833616,INVERSIÓN PÚBLICA EN CAPITAL FIJO (% DEL PIB)
27,2016,0.42151432766815,EFICIENCIA EN EL USO DE LA ENERGÍA (EN UNIDADES DEL PIB)
28,2016,49.8106981161449,DESEMPEÑO AMBIENTAL
29,2016,14.6507262498467,EMPRESAS CON CERTIFICACIÓN AMBIENTAL ISO 14001
30,2016,10.4634503873035,FACILIDAD PARA OBTENER CRÉDITO
31,2016,29.3041399139297,CRÉDITO DOMÉSTICO
32,2016,0.0842955534389831,CRÉDITO A LAS EMPRESAS PARA INNOVAR
33,2016,0.0,CAPITALIZACIÓN BURSÁTIL
34,2016,72.8344568795915,INVERSIÓN PRIVADA EN CAPITAL FIJO EN LA INDUSTRIA (% DEL PIB)
35,2016,3.46319595870253,INVERSIÓN EN ACTIVIDADES CONDUCENTES A LA INNOVACIÓN EN LAS EMPRESAS (% DEL PIB)
36,2016,92.3112046470024,DIVERSIFICACIÓN DE MERCADOS DE DESTINO DE EXPORTACIONES
37,2016,8.00698426573824,DIVERSIFICACIÓN DE LA CANASTA EXPORTADORA (ÍNDICE HERFINDAHLHIRSCHMAN)
38,2016,55.8695913588837,SOFISTICACIÓN DEL APARATO PRODUCTIVO
39,2016,55.8695913588837,TAMAÑO DEL MERCADO INTERNO (LOGARITMO)
40,2016,24.0549828178694,EMPLEO INTENSIVO EN CONOCIMIENTO (%)
41,2016,22.3318407280124,GASTO EN FORMACIÓN Y CAPACITACIÓN (POR CADA 100 MIL UNIDADES DEL PIB)
42,2016,33.4603993787307,GASTO PRIVADO EN I+D (% DEL PIB)
43,2016,5.30887890053287,FINANCIACIÓN EMPRESARIAL DEL GASTO EN I+D (%)
44,2016,13.217264285477,BECAS DE MAESTRÍA Y DOCTORADO POR CADA 100 MIL PERSONAS ENTRE 25 Y 40 AÑOS
45,2016,0.0,MUJERES EMPLEADAS CON FORMACIÓN DE ALTO NIVEL
